id,number,name,type,zone,from_station_code,from_station_name,to_station_code,to_station_name,departure,arrival,duration,number_of_halts,distance,departure_days,sunday,monday,tuesday,wednesday,thursday,friday,saturday,classes,first_ac,second_ac,third_ac,first_class,sleeper,chair_car,second_sitting,return_train,date_from,date_to
85,06346,"Ernakulam Bangalore Sabarimala Special",Exp,SR,ERS,"Ernakulam Junction (South)",SBC,"Bangalore City Junction",17:00,04:40,"11h 40m",12,"638 km",----T--,0,0,0,0,1,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06345,"","Jan 19"
86,06501,"Yesvantpur - Ahmedabad Garib Rath Special",GR,SWR,YPR,"Bangalore Yesvantpur Junction",ADI,"Ahmedabad Junction",05:20,16:10,"34h 50m",21,"1719 km",--T----,0,0,1,0,0,0,0,3A,0,0,1,0,0,0,0,06502,,
87,06502,"Ahmedabad -Yesvantpur Garib Rath Special",GR,SWR,ADI,"Ahmedabad Junction",YPR,"Bangalore Yesvantpur Junction",20:15,11:25,"39h 10m",21,"1719 km",---W---,0,0,0,1,0,0,0,3A,0,0,1,0,0,0,0,06501,,
88,06535,"Bijapur Express",Exp,SWR,YPR,"Bangalore Yesvantpur Junction",BJP,Bijapur,19:45,11:00,"15h 15m",17,"712 km",S-TW-F-,1,0,1,1,0,1,0,"SL 3A 2A 1A",1,1,1,0,1,0,0,06536,,
89,06536,"Bijapur-Yesvantpur Special",Exp,SWR,BJP,Bijapur,YPR,"Bangalore Yesvantpur Junction",17:40,09:15,"15h 35m",17,"712 km",-M-WT-S,0,1,0,1,1,0,1,"SL 3A 2A 1A",1,1,1,0,1,0,0,06535,,
90,06591,"Yesvantpur-Hosur Passenger Special",Pass,SWR,YPR,"Bangalore Yesvantpur Junction",HSRA,Hosur,06:20,07:55,"1h 35m",7,"67 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,06592,,
91,06592,"Hosur-Yesvantpur Passenger",Pass,SWR,HSRA,Hosur,YPR,"Bangalore Yesvantpur Junction",08:10,09:50,"1h 40m",7,"67 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,06593,,
92,06593,"Yesvantpur-Hosur Passenger Special",Pass,SWR,YPR,"Bangalore Yesvantpur Junction",HSRA,Hosur,15:35,17:05,"1h 30m",7,"67 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,06594,,
93,06594,"Hosur-Yesvantpur Passenger Special",Pass,SWR,HSRA,Hosur,YPR,"Bangalore Yesvantpur Junction",17:45,19:20,"1h 35m",7,"67 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,06593,,
94,06595,"Yesvantpur-Devanhalli Special",Pass,SWR,YPR,"Bangalore Yesvantpur Junction",DHL,Devanhalli,10:40,11:45,"1h 5m",5,"36 km",-MTWTFS,0,1,1,1,1,1,1,"",0,0,0,0,0,0,0,06596,,
95,06596,"Devanahalli-Yesvantpur Special",Pass,SWR,DHL,Devanhalli,YPR,"Bangalore Yesvantpur Junction",13:15,14:25,"1h 10m",5,"36 km",-MTWTFS,0,1,1,1,1,1,1,"",0,0,0,0,0,0,0,06595,,
96,06617,"Coimbatore-Nagercoil Special",Exp,SR,CBE,"Coimbatore Main Junction",NCJ,"Nagercoil Junction",20:20,06:40,"10h 20m",13,"497 km",--T----,0,0,1,0,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06618,"Nov 22","Jan 17"
97,06618,"Nagercoil-Coimbatore Special",Exp,SR,NCJ,"Nagercoil Junction",CBE,"Coimbatore Main Junction",20:15,08:00,"11h 45m",13,"497 km",---W---,0,0,0,1,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06617,"Nov 23","Jan 18"
98,06621,"Coimbatore-Yesvantpur SF Special",SF,SR,CBE,"Coimbatore Main Junction",YPR,"Bangalore Yesvantpur Junction",06:00,13:20,"7h 20m",8,"440 km",----T--,0,0,0,0,1,0,0,"2S CC",0,0,0,0,0,1,1,06622,,
99,06622,"Yesvantpur-Coimbatore SF Special",SF,SR,YPR,"Bangalore Yesvantpur Junction",CBE,"Coimbatore Main Junction",14:15,21:40,"7h 25m",9,"440 km",----T--,0,0,0,0,1,0,0,"2S CC",0,0,0,0,0,1,1,06621,,
100,06837,"Karaikkudi Manamadurai Passenger",Pass,SR,KKDI,"Karaikkudi Junction",MNM,"Manamadurai Junction",18:30,19:50,"1h 20m",5,"61 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,06838,,
101,06838,"Manamadurai Karaikkudi Passenger",Pass,SR,MNM,"Manamadurai Junction",KKDI,"Karaikkudi Junction",07:55,09:15,"1h 20m",5,"61 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,06837,,
102,06839,"Tiruchirappalli Karaikkudi Passenger Special",Pass,SR,TPJ,"Tiruchirappalli Junction",KKDI,"Karaikkudi Junction",15:55,18:15,"2h 20m",6,"90 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,06840,,
103,06840,"Karaikkudi-Tiruchirappalli Passenger Special",Pass,SR,KKDI,"Karaikkudi Junction",TPJ,"Tiruchirappalli Junction",09:40,12:05,"2h 25m",6,"90 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,06839,,
